emoji,words,category
👩‍👧‍👦,boy | child | family | girl,family
👩‍👧‍👧,child | family | girl | woman,family
👩‍👩‍👦,boy | child | family | woman,family
👩‍👩‍👦‍👦,boy | child | family | woman,family
👩‍👩‍👧,child | family | girl | woman,family
👩‍👩‍👧‍👦,boy | child | family | girl,family
👩‍👩‍👧‍👧,child | family | girl | woman,family
👩‍💻,woman technologist | coder | computer | developer,person role
👩‍💼,woman office worker | architect | business | manager,person role
👩‍🔧,woman mechanic | electrician | mechanic | plumber,person role
👩‍🔬,woman scientist | biologist | chemist | engineer,person role
👩‍🦯,woman with white cane | accessibility | blind | cane,person activity
👩‍🦯‍➡,accessibility | blind | cane | facing,person activity
👩‍🦰,adult | lady | red hair | woman,person
👩‍🦱,adult | curly hair | lady | woman,person
👩‍🦲,adult | bald | lady | woman,person
👩‍🦳,adult | lady | white hair | woman,person
👩‍🦼,woman in motorized wheelchair | accessibility | motorized | wheelchair,person activity
👩‍🦼‍➡,accessibility | facing | motorized | right,person activity
👩‍🦽,woman in manual wheelchair | accessibility | manual | wheelchair,person activity
👩‍🦽‍➡,accessibility | facing | manual | right,person activity
👩‍🚀,woman astronaut | astronaut | rocket | space,person role
👩‍🚒,woman firefighter | fire | firefighter | firetruck,person role
👪,family | child,person symbol
👫,woman and man holding hands | bae | bestie | bff,family
👬,men holding hands | bae | bestie | bff,family
👭,women holding hands | bae | bestie | bff,family
👮,police officer | apprehend | arrest | citation,person role
👮‍♀,woman police officer | apprehend | arrest | citation,person role
👮‍♂,man police officer | apprehend | arrest | citation,person role
👯,people with bunny ears | bestie | bff | bunny,person activity
👯‍♀,women with bunny ears | bestie | bff | bunny,person activity
👯‍♂,men with bunny ears | bestie | bff | bunny,person activity
👰,person with veil | veil | wedding,person role
👰‍♀,woman with veil | bride | veil | wedding,person role
👰‍♂,man with veil | man | veil | wedding,person role
👱,blond | blond hair | blond-haired | human,person
👱‍♀,blond | blond-haired | blonde | hair,person
👱‍♂,blond | blond-haired | hair | man,person
👲,person with skullcap | cap | chinese | gua,person role
👳,person wearing turban | turban | wearing,person role
👳‍♀,woman wearing turban | turban | wearing | woman,person role
👳‍♂,man wearing turban | man | turban | wearing,person role
👴,old man | adult | bald | elderly,person
👵,old woman | adult | elderly | grandma,person
👶,baby | babies | children | goo,person
👷,construction worker | build | construction | fix,person role
👷‍♀,woman construction worker | build | construction | fix,person role
👷‍♂,man construction worker | build | construction | fix,person role
👸,princess | crown | fairy | fairytale,person role
👹,ogre | creature | devil | face,face costume
👺,goblin | angry | creature | face,face costume
👻,ghost | boo | creature | excited,face costume
👼,baby angel | angel | baby | church,person fantasy
👽,alien | creature | extraterrestrial | face,face costume
👾,alien monster | alien | creature | extraterrestrial,face costume
👿,angry face with horns | angry | demon | devil,face negative
💀,skull | body | dead | death,face negative
💁,person tipping hand | fetch | flick | flip,person gesture
💁‍♀,woman tipping hand | fetch | flick | flip,person gesture
💁‍♂,man tipping hand | fetch | flick | flip,person gesture
💂,guard | buckingham | helmet | london,person role
💂‍♀,woman guard | buckingham | guard | helmet,person role
💂‍♂,man guard | buckingham | guard | helmet,person role
💃,woman dancing | dance | dancer | dancing,person activity
💄,lipstick | cosmetics | date | makeup,clothing
💅,nail polish | bored | care | cosmetics,hand prop
💆,person getting massage | face | getting | headache,person activity
💆‍♀,woman getting massage | face | getting | headache,person activity
💆‍♂,man getting massage | face | getting | headache,person activity
💇,person getting haircut | barber | beauty | chop,person activity
💇‍♀,woman getting haircut | barber | beauty | chop,person activity
💇‍♂,man getting haircut | barber | beauty | chop,person activity
💈,barber pole | barber | cut | fresh,place other
💉,syringe | doctor | flu | medicine,medical
💊,pill | doctor | drugs | medicated,medical
💋,kiss mark | dating | emotion | heart,emotion
💌,love letter | heart | letter | love,heart
💍,ring | diamond | engaged | engagement,clothing
💎,gem stone | diamond | engagement | gem,clothing
💏,kiss | anniversary | babe | bae,family
💐,bouquet | anniversary | birthday | date,plant flower
💑,couple with heart | anniversary | babe | bae,family
💒,wedding | chapel | hitched | nuptials,place building
💓,beating heart | beating | cardio | emotion,heart
💔,broken heart | break | broken | crushed,heart
💕,two hearts | anniversary | date | dating,heart
💖,sparkling heart | emotion | excited | good,heart
💗,growing heart | emotion | excited | growing,heart
💘,heart with arrow | adorbs | arrow | cupid,heart
💙,blue heart | blue | emotion | heart,heart
💚,green heart | emotion | green | heart,heart
💛,yellow heart | cardiac | emotion | heart,heart
💜,purple heart | bestest | emotion | heart,heart
💝,heart with ribbon | anniversary | emotion | heart,heart
💞,revolving hearts | adorbs | anniversary | emotion,heart
💟,heart decoration | decoration | emotion | heart,heart
💠,diamond with a dot | comic | diamond | dot,geometric
💡,light bulb | bulb | comic | electric,light and video
💢,anger symbol | anger | angry | comic,emotion
💣,bomb | boom | comic | dangerous,tool
💤,zzz | comic | good | goodnight,emotion
💥,collision | bomb | boom | collide,emotion
💦,sweat droplets | comic | drip | droplet,emotion
💧,droplet | cold | comic | drop,sky and weather
💨,dashing away | away | cloud | comic,emotion
💩,pile of poo | bs | comic | doo,face costume
💪,flexed biceps | arm | beast | bench,body parts
💫,dizzy | comic | shining | shooting,emotion
💬,speech balloon | balloon | bubble | comic,emotion
💭,thought balloon | balloon | bubble | cartoon,emotion
💮,white flower | flower | white,plant flower
💯,hundred points | agree | clearly | definitely,emotion
💰,money bag | bag | bank | bet,money
💱,currency exchange | bank | currency | exchange,currency
💲,heavy dollar sign | billion | cash | charge,currency
💳,credit card | bank | card | cash,money
💴,yen banknote | bank | banknote | bill,money
💵,dollar banknote | bank | banknote | bill,money
💶,euro banknote | bank | banknote | bill,money
💷,pound banknote | bank | banknote | bill,money
💸,money with wings | bank | banknote | bill,money
💹,chart increasing with yen | bank | chart | currency,money
💺,seat | chair,transport air
💻,laptop | computer | office | pc,computer
💼,briefcase | office,office
💽,computer disk | computer | disk | minidisk,computer
💾,floppy disk | computer | disk | floppy,computer
💿,optical disk | blu-ray | cd | computer,computer
📀,dvd | blu-ray | cd | computer,computer
📁,file folder | file | folder,office
📂,open file folder | file | folder | open,office
📃,page with curl | curl | document | page,book paper
📄,page facing up | document | facing | page,book paper
📅,calendar | date,office
📆,tear-off calendar | calendar | tear-off,office
📇,card index | card | index | old,office
📈,chart increasing | chart | data | graph,office
📉,chart decreasing | chart | data | decreasing,office
📊,bar chart | bar | chart | data,office
📋,clipboard | do | list | notes,office
📌,pushpin | collage | pin,office
📍,round pushpin | location | map | pin,office
📎,paperclip,office
📏,straight ruler | angle | edge | math,office
📐,triangular ruler | angle | math | rule,office
📑,bookmark tabs | bookmark | mark | marker,book paper
📒,ledger | notebook,book paper
📓,notebook,book paper
📔,notebook with decorative cover | book | cover | decorated,book paper
📕,closed book | book | closed | education,book paper
📖,open book | book | education | fantasy,book paper
📗,green book | book | education | fantasy,book paper
📘,blue book | blue | book | education,book paper
📙,orange book | book | education | fantasy,book paper
📚,books | book | education | fantasy,book paper
📛,name badge | badge | name,symbols
📜,scroll | paper,book paper
📝,memo | communication | media | notes,writing
📞,telephone receiver | communication | phone | receiver,phone
📟,pager | communication,phone
📠,fax machine | communication | fax | machine,phone
📡,satellite antenna | aliens | antenna | contact,science
📢,loudspeaker | address | communication | loud,sound
📣,megaphone | cheering | sound,sound
📤,outbox tray | box | email | letter,mail
📥,inbox tray | box | email | inbox,mail
📦,package | box | communication | delivery,mail
📧,e-mail | email | letter | mail,mail
📨,incoming envelope | delivering | e-mail | email,mail
📩,envelope with arrow | arrow | communication | down,mail
📪,closed mailbox with lowered flag | closed | lowered | mail,mail
📫,closed mailbox with raised flag | closed | communication | mail,mail
📬,open mailbox with raised flag | mail | mailbox | open,mail
📭,open mailbox with lowered flag | lowered | mail | mailbox,mail
📮,postbox | mail | mailbox,mail
📯,postal horn | horn | post | postal,sound
📰,newspaper | communication | news | paper,book paper
📱,mobile phone | cell | communication | mobile,phone
📲,mobile phone with arrow | arrow | build | call,phone
📳,vibration mode | cell | communication | mobile,av symbol
📴,mobile phone off | cell | mobile | off,av symbol
📵,no mobile phones | cell | forbidden | mobile,warning
📶,antenna bars | antenna | bar | bars,av symbol
📷,camera | photo | selfie | snap,light and video
📸,camera with flash | camera | flash | video,light and video
📹,video camera | camcorder | camera | tbt,light and video
📺,television | tv | video,light and video
📻,radio | entertainment | tbt | video,music
📼,videocassette | old | school | tape,light and video
📽,film projector | cinema | film | movie,light and video
📿,prayer beads | beads | clothing | necklace,clothing
🔀,shuffle tracks button | arrow | crossed | shuffle,av symbol
🔁,repeat button | arrow | clockwise | repeat,av symbol
🔂,repeat single button | arrow | clockwise | once,av symbol
🔃,clockwise vertical arrows | arrow | arrows | clockwise,arrow
🔄,counterclockwise arrows button | again | anticlockwise | arrow,arrow
🔅,dim button | brightness | dim | low,av symbol
🔆,bright button | bright | brightness | light,av symbol
🔇,muted speaker | mute | muted | quiet,sound
🔈,speaker low volume | low | soft | sound,sound
🔉,speaker medium volume | medium | sound | speaker,sound
🔊,speaker high volume | high | loud | music,sound
🔋,battery,computer
🔌,electric plug | electric | electricity | plug,computer
🔍,magnifying glass tilted left | glass | lab | left,light and video
🔎,magnifying glass tilted right | contact | glass | lab,light and video
🔏,locked with pen | ink | lock | locked,lock
🔐,locked with key | bike | closed | key,lock
🔑,key | keys | lock | major,lock
🔒,locked | closed | lock | private,lock
🔓,unlocked | cracked | lock | open,lock
🔔,bell | break | church | sound,sound
🔕,bell with slash | bell | forbidden | mute,sound
🔖,bookmark | mark,book paper
🔗,link | links,tool
🔘,radio button | geometric | radio,geometric
🔙,back arrow | arrow | back,arrow
🔚,end arrow | arrow | end,arrow
🔛,arrow | mark,arrow
🔜,soon arrow | arrow | brb | omw,arrow
🔝,top arrow | arrow | homie | top,arrow
🔞,no one under eighteen | age | eighteen | forbidden,warning
🔟,10,keycap
🔠,input latin uppercase | abcd | input | latin,alphanum
🔡,input latin lowercase | abcd | input | latin,alphanum
🔢,input numbers | input | numbers,alphanum
🔣,input symbols | input | symbols,alphanum
🔤,input latin letters | abc | alphabet | input,alphanum
🔥,fire | af | burn | flame,sky and weather
🔦,flashlight | electric | light | tool,light and video
🔧,wrench | home | improvement | spanner,tool
🔨,hammer | home | improvement | repairs,tool
🔩,nut and bolt | bolt | home | improvement,tool
🔪,kitchen knife | chef | cooking | hocho,dishware
🔫,water pistol | gun | handgun | pistol,game
🔬,microscope | experiment | lab | science,science
🔭,telescope | contact | extraterrestrial | science,science
🔮,crystal ball | ball | crystal | fairy,game
🔯,dotted six-pointed star | dotted | fortune | jewish,religion
🔰,japanese symbol for beginner | beginner | chevron | green,symbols
🔱,trident emblem | anchor | emblem | poseidon,symbols
🔲,black square button | black | geometric | square,geometric
🔳,white square button | geometric | outlined | square,geometric
🔴,red circle | circle | geometric | red,geometric
🔵,blue circle | blue | circle | geometric,geometric
🔶,large orange diamond | diamond | geometric | large,geometric
🔷,large blue diamond | blue | diamond | geometric,geometric
🔸,small orange diamond | diamond | geometric | orange,geometric
🔹,small blue diamond | blue | diamond | geometric,geometric
🔺,red triangle pointed up | geometric | pointed | red,geometric
🔻,red triangle pointed down | down | geometric | pointed,geometric
🔼,upwards button | arrow | red | up,av symbol
🔽,downwards button | arrow | down | downwards,av symbol
🕉,om | hindu | religion,religion
🕊,dove | bird | fly | ornithology,animal bird
🕋,kaaba | hajj | islam | muslim,place religious
🕌,mosque | islam | masjid | muslim,place religious
🕍,synagogue | jew | jewish | judaism,place religious
🕎,menorah | candelabrum | candlestick | hanukkah,religion
🕐,one | clock | time,time
🕑,two | clock | time,time
🕒,three | clock | time,time
🕓,four | clock | time,time
🕔,five | clock | time,time
🕕,six | clock | time,time
🕖,zero | seven | clock,time
🕗,eight | clock | time,time
🕘,nine | clock | time,time
🕙,zero | clock | ten,time
🕚,clock | eleven | time,time
🕛,clock | time | twelve,time
🕜,one-thirty | one | clock | thirty,time
🕝,two-thirty | two | clock | thirty,time
🕞,three-thirty | three | clock | thirty,time
🕟,four-thirty | four | clock | thirty,time
🕠,five-thirty | five | clock | thirty,time
🕡,six-thirty | six | clock | thirty,time
🕢,seven-thirty | seven | clock | thirty,time
🕣,eight-thirty | eight | clock | thirty,time
🕤,nine-thirty | nine | clock | thirty,time
🕥,ten-thirty | clock | ten | thirty,time
🕦,eleven-thirty | clock | eleven | thirty,time
🕧,twelve-thirty | clock | thirty | time,time
🕯,candle | light,light and video
🕰,mantelpiece clock | clock | mantelpiece | time,time
🕳,hole,emotion
🕴,person in suit levitating | business | levitating | suit,person activity
🕵,detective | sleuth | spy,person role
🕵‍♀,woman detective | detective | sleuth | spy,person role
🕵‍♂,man detective | detective | man | sleuth,person role
🕶,sunglasses | dark | eye | eyewear,clothing
🕷,spider | animal | insect,animal bug
🕸,spider web | spider | web,animal bug
🕹,joystick | game | video | videogame,game
🕺,man dancing | dance | dancer | dancing,person activity
🖇,linked paperclips | link | linked | paperclip,office
🖊,pen | ballpoint,writing
🖋,fountain pen | fountain | pen,writing
🖌,paintbrush | painting,writing
🖍,crayon,writing
🖐,hand with fingers splayed | finger | fingers | hand,hand fingers open
🖕,middle finger | finger | hand | middle,hand single finger
🖖,vulcan salute | finger | hand | hands,hand fingers open
🖤,black heart | black | evil | heart,heart
🖥,desktop computer | computer | desktop | monitor,computer
🖨,printer | computer,computer
🖱,computer mouse | computer | mouse,computer
🖲,trackball | computer,computer
🖼,framed picture | art | frame | framed,arts and crafts
🗂,card index dividers | card | dividers | index,office
🗃,card file box | box | card | file,office
🗄,file cabinet | cabinet | file | filing,office
🗑,wastebasket | can | garbage | trash,office
🗒,spiral notepad | note | notepad | pad,office
🗓,spiral calendar | calendar | pad | spiral,office
🗜,clamp | compress | tool | vice,tool
🗝,old key | clue | key | lock,lock
🗞,rolled-up newspaper | news | newspaper | paper,book paper
🗡,dagger | knife | weapon,tool
🗣,speaking head | face | head | silhouette,person symbol
🗨,left speech bubble | balloon | bubble | dialog,emotion
🗯,right anger bubble | anger | angry | balloon,emotion
🗳,ballot box with ballot | ballot | box,mail
🗺,world map | map | world,place map
🗻,mount fuji | fuji | mount | mountain,place geographic
🗼,tokyo tower | tokyo | tower,place building
🗽,statue of liberty | liberty | new | ny,place building
🗾,map of japan | japan | map,place map
🗿,moai | face | moyai | statue,objects
🤌,pinched fingers | fingers | gesture | hand,hand fingers partial
🤍,white heart | heart | white,heart
🤎,brown heart | brown | heart,heart
🤏,pinching hand | amount | bit | fingers,hand fingers partial
🤐,zipper-mouth | face | keep | mouth,face neutral skeptical
🤑,money-mouth | face | money | mouth,face tongue
🤒,face with thermometer | face | ill | sick,face unwell
🤓,nerd | brainy | clever | expert,face glasses
🤔,thinking | chin | consider | face,face hand
🤕,face with head-bandage | bandage | face | head-bandage,face unwell
🤖,robot | face | monster,face costume
🤗,smiling face with open hands | face | hands | hug,face hand
🤘,sign of the horns | finger | hand | horns,hand fingers partial
🤙,call me hand | call | hand | hang,hand fingers partial
🤚,raised back of hand | back | backhand | hand,hand fingers open
🤛,left-facing fist | fist | left-facing | leftwards,hand fingers closed
🤜,right-facing fist | fist | right-facing | rightwards,hand fingers closed
🤝,handshake | agreement | deal | hand,hands
🤞,crossed fingers | cross | crossed | finger,hand fingers partial
🤟,love-you gesture | fingers | gesture | hand,hand fingers partial
🤠,cowboy hat | cowboy | cowgirl | face,face hat
🤡,clown | face,face costume
🤢,nauseated | face | gross | nasty,face unwell
🤣,rolling on the floor laughing | crying | face | floor,face smiling
🤤,drooling | face,face sleepy
🤥,lying | face | liar | lie,face neutral skeptical
🤦,person facepalming | again | bewilder | disbelief,person gesture
🤦‍♀,woman facepalming | again | bewilder | disbelief,person gesture
🤦‍♂,man facepalming | again | bewilder | disbelief,person gesture
🤧,sneezing | face | fever | flu,face unwell
🤨,face with raised eyebrow | disapproval | disbelief | distrust,face neutral skeptical
🤩,star-struck | excited | eyes | face,face affection
🤪,zany | crazy | eye | eyes,face tongue
🤫,shushing | face | quiet | shh,face hand
🤬,face with symbols on mouth | censor | cursing | cussing,face negative
🤭,face with hand over mouth | face | giggle | giggling,face hand
🤮,face vomiting | barf | ew | face,face unwell
🤯,exploding head | blown | explode | exploding,face unwell
🤰,pregnant woman | pregnant | woman,person role
🤱,breast-feeding | baby | breast | feeding,person role
🤲,palms up together | cupped | dua | hands,hands
🤳,selfie | camera | phone,hand prop
🤴,prince | crown | fairy | fairytale,person role
🤵,person in tuxedo | formal | tuxedo | wedding,person role
🤵‍♀,woman in tuxedo | formal | tuxedo | wedding,person role
🤵‍♂,man in tuxedo | formal | groom | man,person role
🤶,celebration | christmas | claus | fairy,person fantasy
🤷,person shrugging | doubt | dunno | guess,person gesture
🤷‍♀,woman shrugging | doubt | dunno | guess,person gesture
🤷‍♂,man shrugging | doubt | dunno | guess,person gesture
🤸,person cartwheeling | active | cartwheel | cartwheeling,person sport
🤸‍♀,woman cartwheeling | active | cartwheel | cartwheeling,person sport
🤸‍♂,man cartwheeling | active | cartwheel | cartwheeling,person sport
🤹,person juggling | act | balance | balancing,person sport
🤹‍♀,woman juggling | act | balance | balancing,person sport
🤹‍♂,man juggling | act | balance | balancing,person sport
🤺,person fencing | fencer | fencing | sword,person sport
🤼,people wrestling | combat | duel | grapple,person sport
🤼‍♀,women wrestling | combat | duel | grapple,person sport
🤼‍♂,men wrestling | combat | duel | grapple,person sport
🤽,person playing water polo | playing | polo | sport,person sport
🤽‍♀,woman playing water polo | playing | polo | sport,person sport
