emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
🧖‍♀,woman in steamy room,dark skin tone | day | luxurious | pamper | relax | room | sauna | spa | steam | steambath | unwind | woman,woman in steamy room | dark skin tone | day | luxurious | pamper | relax | room | sauna | spa | steam | steambath | unwind | woman,person activity,People & Body,person-activity,woman in steamy room
🧖‍♂,man in steamy room,dark skin tone | day | luxurious | man | pamper | relax | room | sauna | spa | steam | steambath | unwind,man in steamy room | dark skin tone | day | luxurious | man | pamper | relax | room | sauna | spa | steam | steambath | unwind,person activity,People & Body,person-activity,man in steamy room
🧗,person climbing,climb | climber | climbing | dark skin tone | mountain | person | rock | scale | up,person climbing | climb | climber | climbing | dark skin tone | mountain | person | rock | scale | up,person activity,People & Body,person-activity,person climbing
🧗‍♀,woman climbing,climb | climber | climbing | dark skin tone | mountain | rock | scale | up | woman,woman climbing | climb | climber | climbing | dark skin tone | mountain | rock | scale | up | woman,person activity,People & Body,person-activity,woman climbing
🧗‍♂,man climbing,climb | climber | climbing | dark skin tone | man | mountain | rock | scale | up,man climbing | climb | climber | climbing | dark skin tone | man | mountain | rock | scale | up,person activity,People & Body,person-activity,man climbing
🧘,person in lotus position,cross | dark skin tone | legged | legs | lotus | meditation | peace | person | position | relax | serenity | yoga | yogi | zen,person in lotus position | cross | dark skin tone | legged | legs | lotus | meditation | peace | person | position | relax | serenity | yoga | yogi | zen,person resting,People & Body,person-resting,person in lotus position
🧘‍♀,woman in lotus position,cross | dark skin tone | legged | legs | lotus | meditation | peace | position | relax | serenity | woman | yoga | yogi | zen,woman in lotus position | cross | dark skin tone | legged | legs | lotus | meditation | peace | position | relax | serenity | woman | yoga | yogi | zen,person resting,People & Body,person-resting,woman in lotus position
🧘‍♂,man in lotus position,cross | dark skin tone | legged | legs | lotus | man | meditation | peace | position | relax | serenity | yoga | yogi | zen,man in lotus position | cross | dark skin tone | legged | legs | lotus | man | meditation | peace | position | relax | serenity | yoga | yogi | zen,person resting,People & Body,person-resting,man in lotus position
🧙,mage,dark skin tone | fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard,mage | dark skin tone | fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard,person fantasy,People & Body,person-fantasy,mage
🧙‍♀,woman mage,dark skin tone | fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard | woman,woman mage | dark skin tone | fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard | woman,person fantasy,People & Body,person-fantasy,woman mage
🧙‍♂,man mage,dark skin tone | fantasy | mage | magic | man | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard,man mage | dark skin tone | fantasy | mage | magic | man | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard,person fantasy,People & Body,person-fantasy,man mage
🧚,fairy,dark skin tone | fairy | fairytale | fantasy | myth | person | pixie | tale | wings,fairy | dark skin tone | fairy | fairytale | fantasy | myth | person | pixie | tale | wings,person fantasy,People & Body,person-fantasy,fairy
🧚‍♀,woman fairy,dark skin tone | fairy | fairytale | fantasy | myth | person | pixie | tale | Titania | wings | woman,woman fairy | dark skin tone | fairy | fairytale | fantasy | myth | person | pixie | tale | Titania | wings | woman,person fantasy,People & Body,person-fantasy,woman fairy
🧚‍♂,man fairy,dark skin tone | fairy | fairytale | fantasy | man | myth | Oberon | person | pixie | Puck | tale | wings,man fairy | dark skin tone | fairy | fairytale | fantasy | man | myth | Oberon | person | pixie | Puck | tale | wings,person fantasy,People & Body,person-fantasy,man fairy
🧛,vampire,blood | dark skin tone | Dracula | fangs | halloween | scary | supernatural | teeth | undead | vampire,vampire | blood | dark skin tone | Dracula | fangs | halloween | scary | supernatural | teeth | undead | vampire,person fantasy,People & Body,person-fantasy,vampire
🧛‍♀,woman vampire,blood | dark skin tone | fangs | halloween | scary | supernatural | teeth | undead | vampire | woman,woman vampire | blood | dark skin tone | fangs | halloween | scary | supernatural | teeth | undead | vampire | woman,person fantasy,People & Body,person-fantasy,woman vampire
🧛‍♂,man vampire,blood | dark skin tone | fangs | halloween | man | scary | supernatural | teeth | undead | vampire,man vampire | blood | dark skin tone | fangs | halloween | man | scary | supernatural | teeth | undead | vampire,person fantasy,People & Body,person-fantasy,man vampire
🧜,merperson,creature | dark skin tone | fairytale | folklore | merperson | ocean | sea | siren | trident,merperson | creature | dark skin tone | fairytale | folklore | merperson | ocean | sea | siren | trident,person fantasy,People & Body,person-fantasy,merperson
🧜‍♀,mermaid,creature | dark skin tone | fairytale | folklore | mermaid | merwoman | ocean | sea | siren | trident,mermaid | creature | dark skin tone | fairytale | folklore | mermaid | merwoman | ocean | sea | siren | trident,person fantasy,People & Body,person-fantasy,mermaid
🧜‍♂,merman,creature | dark skin tone | fairytale | folklore | merman | Neptune | ocean | Poseidon | sea | siren | trident | Triton,merman | creature | dark skin tone | fairytale | folklore | merman | Neptune | ocean | Poseidon | sea | siren | trident | Triton,person fantasy,People & Body,person-fantasy,merman
🧝,elf,dark skin tone | elf | elves | enchantment | fantasy | folklore | magic | magical | myth,elf | dark skin tone | elf | elves | enchantment | fantasy | folklore | magic | magical | myth,person fantasy,People & Body,person-fantasy,elf
🧝‍♀,woman elf,dark skin tone | elf | elves | enchantment | fantasy | folklore | magic | magical | myth | woman,woman elf | dark skin tone | elf | elves | enchantment | fantasy | folklore | magic | magical | myth | woman,person fantasy,People & Body,person-fantasy,woman elf
🧝‍♂,man elf,dark skin tone | elf | elves | enchantment | fantasy | folklore | magic | magical | man | myth,man elf | dark skin tone | elf | elves | enchantment | fantasy | folklore | magic | magical | man | myth,person fantasy,People & Body,person-fantasy,man elf
🧞,genie,djinn | fantasy | genie | jinn | lamp | myth | rub | wishes,genie | djinn | fantasy | genie | jinn | lamp | myth | rub | wishes,person fantasy,People & Body,person-fantasy,genie
🧞‍♀,woman genie,djinn | fantasy | genie | jinn | lamp | myth | rub | wishes | woman,woman genie | djinn | fantasy | genie | jinn | lamp | myth | rub | wishes | woman,person fantasy,People & Body,person-fantasy,woman genie
🧞‍♂,man genie,djinn | fantasy | genie | jinn | lamp | man | myth | rub | wishes,man genie | djinn | fantasy | genie | jinn | lamp | man | myth | rub | wishes,person fantasy,People & Body,person-fantasy,man genie
🧟,zombie,apocalypse | dead | halloween | horror | scary | undead | walking | zombie,zombie | apocalypse | dead | halloween | horror | scary | undead | walking | zombie,person fantasy,People & Body,person-fantasy,zombie
🧟‍♀,woman zombie,apocalypse | dead | halloween | horror | scary | undead | walking | woman | zombie,woman zombie | apocalypse | dead | halloween | horror | scary | undead | walking | woman | zombie,person fantasy,People & Body,person-fantasy,woman zombie
🧟‍♂,man zombie,apocalypse | dead | halloween | horror | man | scary | undead | walking | zombie,man zombie | apocalypse | dead | halloween | horror | man | scary | undead | walking | zombie,person fantasy,People & Body,person-fantasy,man zombie
🧠,brain,brain | intelligent | smart,brain | brain | intelligent | smart,body parts,People & Body,body-parts,brain
🧡,orange heart,143 | heart | orange,orange heart | 143 | heart | orange,heart,Smileys & Emotion,heart,orange heart
🧢,billed cap,baseball | bent | billed | cap | dad | hat,billed cap | baseball | bent | billed | cap | dad | hat,clothing,Objects,clothing,billed cap
🧣,scarf,bundle | cold | neck | scarf | up,scarf | bundle | cold | neck | scarf | up,clothing,Objects,clothing,scarf
🧤,gloves,gloves | hand,gloves | gloves | hand,clothing,Objects,clothing,gloves
🧥,coat,brr | bundle | coat | cold | jacket | up,coat | brr | bundle | coat | cold | jacket | up,clothing,Objects,clothing,coat
🧦,socks,socks | stocking,socks | socks | stocking,clothing,Objects,clothing,socks
🧧,red envelope,envelope | gift | good | hóngbāo | lai | luck | money | red | see,red envelope | envelope | gift | good | hóngbāo | lai | luck | money | red | see,event,Activities,event,red envelope
🧨,firecracker,dynamite | explosive | fire | firecracker | fireworks | light | pop | popping | spark,firecracker | dynamite | explosive | fire | firecracker | fireworks | light | pop | popping | spark,event,Activities,event,firecracker
🧩,puzzle piece,clue | interlocking | jigsaw | piece | puzzle,puzzle piece | clue | interlocking | jigsaw | piece | puzzle,game,Activities,game,puzzle piece
🧪,test tube,chemist | chemistry | experiment | lab | science | test | tube,test tube | chemist | chemistry | experiment | lab | science | test | tube,science,Objects,science,test tube
🧫,petri dish,bacteria | biologist | biology | culture | dish | lab | petri,petri dish | bacteria | biologist | biology | culture | dish | lab | petri,science,Objects,science,petri dish
🧬,dna,biologist | dna | evolution | gene | genetics | life,dna | biologist | dna | evolution | gene | genetics | life,science,Objects,science,dna
🧭,compass,compass | direction | magnetic | navigation | orienteering,compass | compass | direction | magnetic | navigation | orienteering,place map,Travel & Places,place-map,compass
🧮,abacus,abacus | calculation | calculator,abacus | abacus | calculation | calculator,computer,Objects,computer,abacus
🧯,fire extinguisher,extinguish | extinguisher | fire | quench,fire extinguisher | extinguish | extinguisher | fire | quench,household,Objects,household,fire extinguisher
🧰,toolbox,box | chest | mechanic | red | tool | toolbox,toolbox | box | chest | mechanic | red | tool | toolbox,tool,Objects,tool,toolbox
🧱,brick,brick | bricks | clay | mortar | wall,brick | brick | bricks | clay | mortar | wall,place building,Travel & Places,place-building,brick
🧲,magnet,attraction | horseshoe | magnet | magnetic | negative | positive | shape | u,magnet | attraction | horseshoe | magnet | magnetic | negative | positive | shape | u,tool,Objects,tool,magnet
🧳,luggage,bag | luggage | packing | roller | suitcase | travel,luggage | bag | luggage | packing | roller | suitcase | travel,hotel,Travel & Places,hotel,luggage
🧴,lotion bottle,bottle | lotion | moisturizer | shampoo | sunscreen,lotion bottle | bottle | lotion | moisturizer | shampoo | sunscreen,household,Objects,household,lotion bottle
🧵,thread,needle | sewing | spool | string | thread,thread | needle | sewing | spool | string | thread,arts and crafts,Activities,arts & crafts,thread
🧶,yarn,ball | crochet | knit | yarn,yarn | ball | crochet | knit | yarn,arts and crafts,Activities,arts & crafts,yarn
🧷,safety pin,diaper | pin | punk | rock | safety,safety pin | diaper | pin | punk | rock | safety,household,Objects,household,safety pin
🧸,teddy bear,bear | plaything | plush | stuffed | teddy | toy,teddy bear | bear | plaything | plush | stuffed | teddy | toy,game,Activities,game,teddy bear
🧹,broom,broom | cleaning | sweeping | witch,broom | broom | cleaning | sweeping | witch,household,Objects,household,broom
🧺,basket,basket | farming | laundry | picnic,basket | basket | farming | laundry | picnic,household,Objects,household,basket
🧻,roll of paper,paper | roll | toilet | towels,roll of paper | paper | roll | toilet | towels,household,Objects,household,roll of paper
🧼,soap,bar | bathing | clean | cleaning | lather | soap | soapdish,soap | bar | bathing | clean | cleaning | lather | soap | soapdish,household,Objects,household,soap
🧽,sponge,absorbing | cleaning | porous | soak | sponge,sponge | absorbing | cleaning | porous | soak | sponge,household,Objects,household,sponge
🧾,receipt,accounting | bookkeeping | evidence | invoice | proof | receipt,receipt | accounting | bookkeeping | evidence | invoice | proof | receipt,money,Objects,money,receipt
🧿,nazar amulet,amulet | bead | blue | charm | evil-eye | nazar | talisman,nazar amulet | amulet | bead | blue | charm | evil-eye | nazar | talisman,objects,Objects,other-object,nazar amulet
🩰,ballet shoes,ballet | dance | shoes,ballet shoes | ballet | dance | shoes,clothing,Objects,clothing,ballet shoes
🩱,one-piece swimsuit,bathing | one-piece | suit | swimsuit,one-piece swimsuit | bathing | one-piece | suit | swimsuit,clothing,Objects,clothing,one-piece swimsuit
🩲,briefs,bathing | briefs | one-piece | suit | swimsuit | underwear,briefs | bathing | briefs | one-piece | suit | swimsuit | underwear,clothing,Objects,clothing,briefs
🩳,shorts,bathing | pants | shorts | suit | swimsuit | underwear,shorts | bathing | pants | shorts | suit | swimsuit | underwear,clothing,Objects,clothing,shorts
🩴,thong sandal,beach | flip | flop | sandal | sandals | shoe | thong | thongs | zōri,thong sandal | beach | flip | flop | sandal | sandals | shoe | thong | thongs | zōri,clothing,Objects,clothing,thong sandal
🩵,light blue heart,143 | blue | cute | cyan | emotion | heart | ily | light | like | love | sky | special | teal,light blue heart | 143 | blue | cute | cyan | emotion | heart | ily | light | like | love | sky | special | teal,heart,Smileys & Emotion,heart,light blue heart
🩶,grey heart,143 | emotion | gray | grey | heart | ily | love | silver | slate | special,grey heart | 143 | emotion | gray | grey | heart | ily | love | silver | slate | special,heart,Smileys & Emotion,heart,grey heart
🩷,pink heart,143 | adorable | cute | emotion | heart | ily | like | love | pink | special | sweet,pink heart | 143 | adorable | cute | emotion | heart | ily | like | love | pink | special | sweet,heart,Smileys & Emotion,heart,pink heart
🩸,drop of blood,bleed | blood | donation | drop | injury | medicine | menstruation,drop of blood | bleed | blood | donation | drop | injury | medicine | menstruation,medical,Objects,medical,drop of blood
🩹,adhesive bandage,adhesive | bandage,adhesive bandage | adhesive | bandage,medical,Objects,medical,adhesive bandage
🩺,stethoscope,doctor | heart | medicine | stethoscope,stethoscope | doctor | heart | medicine | stethoscope,medical,Objects,medical,stethoscope
🩻,x-ray,bones | doctor | medical | skeleton | skull | x-ray | xray,x-ray | bones | doctor | medical | skeleton | skull | x-ray | xray,medical,Objects,medical,x-ray
🩼,crutch,aid | cane | crutch | disability | help | hurt | injured | mobility | stick,crutch | aid | cane | crutch | disability | help | hurt | injured | mobility | stick,medical,Objects,medical,crutch
🪀,yo-yo,fluctuate | toy | yo-yo,yo-yo | fluctuate | toy | yo-yo,game,Activities,game,yo-yo
🪁,kite,fly | kite | soar,kite | fly | kite | soar,game,Activities,game,kite
🪂,parachute,hang-glide | parachute | parasail | skydive,parachute | hang-glide | parachute | parasail | skydive,transport air,Travel & Places,transport-air,parachute
🪃,boomerang,boomerang | rebound | repercussion | weapon,boomerang | boomerang | rebound | repercussion | weapon,tool,Objects,tool,boomerang
🪄,magic wand,magic | magician | wand | witch | wizard,magic wand | magic | magician | wand | witch | wizard,game,Activities,game,magic wand
🪅,piñata,candy | celebrate | celebration | cinco | de | festive | mayo | party | pinada | pinata | piñata,piñata | candy | celebrate | celebration | cinco | de | festive | mayo | party | pinada | pinata | piñata,game,Activities,game,piñata
🪆,nesting dolls,babooshka | baboushka | babushka | doll | dolls | matryoshka | nesting | russia,nesting dolls | babooshka | baboushka | babushka | doll | dolls | matryoshka | nesting | russia,game,Activities,game,nesting dolls
🪇,maracas,cha | dance | instrument | maracas | music | party | percussion | rattle | shake | shaker,maracas | cha | dance | instrument | maracas | music | party | percussion | rattle | shake | shaker,musical instrument,Objects,musical-instrument,maracas
🪈,flute,band | fife | flautist | flute | instrument | marching | music | orchestra | piccolo | pipe | recorder | woodwind,flute | band | fife | flautist | flute | instrument | marching | music | orchestra | piccolo | pipe | recorder | woodwind,musical instrument,Objects,musical-instrument,flute
🪉,harp,cupid | harp | instrument | love | music | orchestra,harp | cupid | harp | instrument | love | music | orchestra,musical instrument,Objects,musical-instrument,harp
🪊,trombone,brass | instrument | jazz | music | sad | slide,trombone | brass | instrument | jazz | music | sad | slide,musical instrument,Objects,musical-instrument,trombone
🪎,treasure chest,gem | gold | jewels | loot | money | prize | silver | valuables | wealth,treasure chest | gem | gold | jewels | loot | money | prize | silver | valuables | wealth,money,Objects,money,treasure chest
🪏,shovel,bury | dig | garden | hole | plant | scoop | shovel | snow | spade,shovel | bury | dig | garden | hole | plant | scoop | shovel | snow | spade,tool,Objects,tool,shovel
🪐,ringed planet,planet | ringed | saturn | saturnine,ringed planet | planet | ringed | saturn | saturnine,sky and weather,Travel & Places,sky & weather,ringed planet
🪑,chair,chair | seat | sit,chair | chair | seat | sit,household,Objects,household,chair
🪒,razor,razor | sharp | shave,razor | razor | sharp | shave,household,Objects,household,razor
🪓,axe,ax | axe | chop | hatchet | split | wood,axe | ax | axe | chop | hatchet | split | wood,tool,Objects,tool,axe
🪔,diya lamp,diya | lamp | light | oil,diya lamp | diya | lamp | light | oil,light and video,Objects,light & video,diya lamp
🪕,banjo,banjo | music | stringed,banjo | banjo | music | stringed,musical instrument,Objects,musical-instrument,banjo
🪖,military helmet,army | helmet | military | soldier | war | warrior,military helmet | army | helmet | military | soldier | war | warrior,clothing,Objects,clothing,military helmet
🪗,accordion,accordion | box | concertina | instrument | music | squeeze | squeezebox,accordion | accordion | box | concertina | instrument | music | squeeze | squeezebox,musical instrument,Objects,musical-instrument,accordion
🪘,long drum,beat | conga | drum | instrument | long | rhythm,long drum | beat | conga | drum | instrument | long | rhythm,musical instrument,Objects,musical-instrument,long drum
🪙,coin,coin | dollar | euro | gold | metal | money | rich | silver | treasure,coin | coin | dollar | euro | gold | metal | money | rich | silver | treasure,money,Objects,money,coin
🪚,carpentry saw,carpenter | carpentry | cut | lumber | saw | tool | trim,carpentry saw | carpenter | carpentry | cut | lumber | saw | tool | trim,tool,Objects,tool,carpentry saw
🪛,screwdriver,flathead | handy | screw | screwdriver | tool,screwdriver | flathead | handy | screw | screwdriver | tool,tool,Objects,tool,screwdriver
🪜,ladder,climb | ladder | rung | step,ladder | climb | ladder | rung | step,tool,Objects,tool,ladder
🪝,hook,catch | crook | curve | ensnare | hook | point | selling,hook | catch | crook | curve | ensnare | hook | point | selling,tool,Objects,tool,hook
🪞,mirror,makeup | mirror | reflection | reflector | speculum,mirror | makeup | mirror | reflection | reflector | speculum,household,Objects,household,mirror
🪟,window,air | frame | fresh | opening | transparent | view | window,window | air | frame | fresh | opening | transparent | view | window,household,Objects,household,window
🪠,plunger,cup | force | plumber | plunger | poop | suction | toilet,plunger | cup | force | plumber | plunger | poop | suction | toilet,household,Objects,household,plunger
🪡,sewing needle,embroidery | needle | sew | sewing | stitches | sutures | tailoring | thread,sewing needle | embroidery | needle | sew | sewing | stitches | sutures | tailoring | thread,arts and crafts,Activities,arts & crafts,sewing needle
🪢,knot,cord | knot | rope | tangled | tie | twine | twist,knot | cord | knot | rope | tangled | tie | twine | twist,arts and crafts,Activities,arts & crafts,knot
🪣,bucket,bucket | cask | pail | vat,bucket | bucket | cask | pail | vat,household,Objects,household,bucket
🪤,mouse trap,bait | cheese | lure | mouse | mousetrap | snare | trap,mouse trap | bait | cheese | lure | mouse | mousetrap | snare | trap,household,Objects,household,mouse trap
🪥,toothbrush,bathroom | brush | clean | dental | hygiene | teeth | toiletry | toothbrush,toothbrush | bathroom | brush | clean | dental | hygiene | teeth | toiletry | toothbrush,household,Objects,household,toothbrush
🪦,headstone,cemetery | dead | grave | graveyard | headstone | memorial | rip | tomb | tombstone,headstone | cemetery | dead | grave | graveyard | headstone | memorial | rip | tomb | tombstone,objects,Objects,other-object,headstone
🪧,placard,card | demonstration | notice | picket | placard | plaque | protest | sign,placard | card | demonstration | notice | picket | placard | plaque | protest | sign,objects,Objects,other-object,placard
🪨,rock,boulder | heavy | rock | solid | stone | tough,rock | boulder | heavy | rock | solid | stone | tough,place building,Travel & Places,place-building,rock
🪩,mirror ball,ball | dance | disco | glitter | mirror | party,mirror ball | ball | dance | disco | glitter | mirror | party,game,Activities,game,mirror ball
🪪,identification card,card | credentials | document | ID | identification | license | security,identification card | card | credentials | document | ID | identification | license | security,objects,Objects,other-object,identification card
🪫,low battery,battery | drained | electronic | energy | low | power,low battery | battery | drained | electronic | energy | low | power,computer,Objects,computer,low battery
🪬,hamsa,amulet | Fatima | fortune | guide | hamsa | hand | Mary | Miriam | palm | protect | protection,hamsa | amulet | Fatima | fortune | guide | hamsa | hand | Mary | Miriam | palm | protect | protection,objects,Objects,other-object,hamsa
🪭,folding hand fan,clack | clap | cool | cooling | dance | fan | flirt | flutter | folding | hand | hot | shy,folding hand fan | clack | clap | cool | cooling | dance | fan | flirt | flutter | folding | hand | hot | shy,clothing,Objects,clothing,folding hand fan
🪮,hair pick,Afro | comb | groom | hair | pick,hair pick | Afro | comb | groom | hair | pick,clothing,Objects,clothing,hair pick
🪯,khanda,Deg | Fateh | Khalsa | Khanda | religion | Sikh | Sikhism | Tegh,khanda | Deg | Fateh | Khalsa | Khanda | religion | Sikh | Sikhism | Tegh,religion,Symbols,religion,khanda
🪰,fly,animal | disease | fly | insect | maggot | pest | rotting,fly | animal | disease | fly | insect | maggot | pest | rotting,animal bug,Animals & Nature,animal-bug,fly
🪱,worm,animal | annelid | earthworm | parasite | worm,worm | animal | annelid | earthworm | parasite | worm,animal bug,Animals & Nature,animal-bug,worm
🪲,beetle,animal | beetle | bug | insect,beetle | animal | beetle | bug | insect,animal bug,Animals & Nature,animal-bug,beetle
🪳,cockroach,animal | cockroach | insect | pest | roach,cockroach | animal | cockroach | insect | pest | roach,animal bug,Animals & Nature,animal-bug,cockroach
🪴,potted plant,decor | grow | house | nurturing | plant | pot | potted,potted plant | decor | grow | house | nurturing | plant | pot | potted,plant other,Animals & Nature,plant-other,potted plant
🪵,wood,log | lumber | timber | wood,wood | log | lumber | timber | wood,place building,Travel & Places,place-building,wood
🪶,feather,bird | feather | flight | light | plumage,feather | bird | feather | flight | light | plumage,animal bird,Animals & Nature,animal-bird,feather
🪷,lotus,beauty | Buddhism | calm | flower | Hinduism | lotus | peace | purity | serenity,lotus | beauty | Buddhism | calm | flower | Hinduism | lotus | peace | purity | serenity,plant flower,Animals & Nature,plant-flower,lotus
🪸,coral,change | climate | coral | ocean | reef | sea,coral | change | climate | coral | ocean | reef | sea,animal marine,Animals & Nature,animal-marine,coral
🪹,empty nest,branch | empty | home | nest | nesting,empty nest | branch | empty | home | nest | nesting,plant other,Animals & Nature,plant-other,empty nest
🪺,nest with eggs,bird | branch | egg | eggs | nest | nesting,nest with eggs | bird | branch | egg | eggs | nest | nesting,plant other,Animals & Nature,plant-other,nest with eggs
🪻,hyacinth,bloom | bluebonnet | flower | hyacinth | indigo | lavender | lilac | lupine | plant | purple | shrub | snapdragon | spring | violet,hyacinth | bloom | bluebonnet | flower | hyacinth | indigo | lavender | lilac | lupine | plant | purple | shrub | snapdragon | spring | violet,plant flower,Animals & Nature,plant-flower,hyacinth
🪼,jellyfish,animal | aquarium | burn | invertebrate | jelly | jellyfish | life | marine | ocean | ouch | plankton | sea | sting | stinger | tentacles,jellyfish | animal | aquarium | burn | invertebrate | jelly | jellyfish | life | marine | ocean | ouch | plankton | sea | sting | stinger | tentacles,animal marine,Animals & Nature,animal-marine,jellyfish
🪽,wing,angelic | ascend | aviation | bird | fly | flying | heavenly | mythology | soar | wing,wing | angelic | ascend | aviation | bird | fly | flying | heavenly | mythology | soar | wing,animal bird,Animals & Nature,animal-bird,wing
🪾,leafless tree,bare | barren | branches | dead | drought | leafless | tree | trunk | winter | wood,leafless tree | bare | barren | branches | dead | drought | leafless | tree | trunk | winter | wood,plant other,Animals & Nature,plant-other,leafless tree
🪿,goose,animal | bird | duck | flock | fowl | gaggle | gander | geese | goose | honk | ornithology | silly,goose | animal | bird | duck | flock | fowl | gaggle | gander | geese | goose | honk | ornithology | silly,animal bird,Animals & Nature,animal-bird,goose
🫀,anatomical heart,anatomical | beat | cardiology | heart | heartbeat | organ | pulse | real | red,anatomical heart | anatomical | beat | cardiology | heart | heartbeat | organ | pulse | real | red,body parts,People & Body,body-parts,anatomical heart
🫁,lungs,breath | breathe | exhalation | inhalation | lung | lungs | organ | respiration,lungs | breath | breathe | exhalation | inhalation | lung | lungs | organ | respiration,body parts,People & Body,body-parts,lungs
🫂,people hugging,comfort | embrace | farewell | friendship | goodbye | hello | hug | hugging | love | people | thanks,people hugging | comfort | embrace | farewell | friendship | goodbye | hello | hug | hugging | love | people | thanks,person symbol,People & Body,person-symbol,people hugging
🫃,pregnant man,belly | bloated | dark skin tone | full | man | overeat | pregnant,pregnant man | belly | bloated | dark skin tone | full | man | overeat | pregnant,person role,People & Body,person-role,pregnant man
🫄,pregnant person,belly | bloated | dark skin tone | full | overeat | person | pregnant | stuffed,pregnant person | belly | bloated | dark skin tone | full | overeat | person | pregnant | stuffed,person role,People & Body,person-role,pregnant person
🫅,person with crown,crown | dark skin tone | monarch | noble | person | regal | royal | royalty,person with crown | crown | dark skin tone | monarch | noble | person | regal | royal | royalty,person role,People & Body,person-role,person with crown
🫆,fingerprint,clue | crime | detective | fingerprint | forensics | identity | mystery | print | safety | trace,fingerprint | clue | crime | detective | fingerprint | forensics | identity | mystery | print | safety | trace,person symbol,People & Body,person-symbol,fingerprint
🫈,hairy creature,bigfoot | cryptid | forest | giant | hairy | sasquatch | woodwose | yeti,hairy creature | bigfoot | cryptid | forest | giant | hairy | sasquatch | woodwose | yeti,person fantasy,People & Body,person-fantasy,hairy creature
🫍,orca,marine | ocean | whale,orca | marine | ocean | whale,animal marine,Animals & Nature,animal-marine,orca
🫎,moose,alces | animal | antlers | elk | mammal | moose,moose | alces | animal | antlers | elk | mammal | moose,animal mammal,Animals & Nature,animal-mammal,moose
🫏,donkey,animal | ass | burro | donkey | hinny | mammal | mule | stubborn,donkey | animal | ass | burro | donkey | hinny | mammal | mule | stubborn,animal mammal,Animals & Nature,animal-mammal,donkey
🫐,blueberries,berries | berry | bilberry | blue | blueberries | blueberry | food | fruit,blueberries | berries | berry | bilberry | blue | blueberries | blueberry | food | fruit,food fruit,Food & Drink,food-fruit,blueberries
🫑,bell pepper,bell | capsicum | food | pepper | vegetable,bell pepper | bell | capsicum | food | pepper | vegetable,food vegetable,Food & Drink,food-vegetable,bell pepper
🫒,olive,food | olive,olive | food | olive,food fruit,Food & Drink,food-fruit,olive
🫓,flatbread,arepa | bread | flatbread | food | gordita | lavash | naan | pita,flatbread | arepa | bread | flatbread | food | gordita | lavash | naan | pita,food prepared,Food & Drink,food-prepared,flatbread
🫔,tamale,food | mexican | pamonha | tamale | wrapped,tamale | food | mexican | pamonha | tamale | wrapped,food prepared,Food & Drink,food-prepared,tamale
🫕,fondue,cheese | chocolate | fondue | food | melted | pot | ski,fondue | cheese | chocolate | fondue | food | melted | pot | ski,food prepared,Food & Drink,food-prepared,fondue
🫖,teapot,brew | drink | food | pot | tea | teapot,teapot | brew | drink | food | pot | tea | teapot,drink,Food & Drink,drink,teapot
🫗,pouring liquid,accident | drink | empty | glass | liquid | oops | pour | pouring | spill | water,pouring liquid | accident | drink | empty | glass | liquid | oops | pour | pouring | spill | water,drink,Food & Drink,drink,pouring liquid
🫘,beans,beans | food | kidney | legume | small,beans | beans | food | kidney | legume | small,food vegetable,Food & Drink,food-vegetable,beans
🫙,jar,condiment | container | empty | jar | nothing | sauce | store,jar | condiment | container | empty | jar | nothing | sauce | store,dishware,Food & Drink,dishware,jar
🫚,ginger root,beer | ginger | health | herb | natural | root | spice,ginger root | beer | ginger | health | herb | natural | root | spice,food vegetable,Food & Drink,food-vegetable,ginger root
🫛,pea pod,beans | beanstalk | edamame | legume | pea | pod | soybean | vegetable | veggie,pea pod | beans | beanstalk | edamame | legume | pea | pod | soybean | vegetable | veggie,food vegetable,Food & Drink,food-vegetable,pea pod
🫜,root vegetable,beet | food | garden | radish | root | salad | turnip | vegetable | vegetarian,root vegetable | beet | food | garden | radish | root | salad | turnip | vegetable | vegetarian,food vegetable,Food & Drink,food-vegetable,root vegetable
🫟,splatter,drip | holi | ink | liquid | mess | paint | spill | splatter | stain,splatter | drip | holi | ink | liquid | mess | paint | spill | splatter | stain,symbols,Symbols,other-symbol,splatter
🫠,melting face,disappear | dissolve | embarrassed | face | haha | heat | hot | liquid | lol | melt | melting | sarcasm | sarcastic,melting face | disappear | dissolve | embarrassed | face | haha | heat | hot | liquid | lol | melt | melting | sarcasm | sarcastic,face smiling,Smileys & Emotion,face-smiling,melting face
🫡,saluting face,face | good | luck | ma’am | OK | respect | salute | saluting | sir | troops | yes,saluting face | face | good | luck | ma’am | OK | respect | salute | saluting | sir | troops | yes,face hand,Smileys & Emotion,face-hand,saluting face
